time,edl_job
0,0
2,0
4,1.0
6,1.0
9,4.0
11,9.0
13,9.0
15,9.0
17,9.0
20,9.0
22,9.0
24,9.0
26,9.0
28,9.0
31,9.0
33,9.0
35,9.0
37,9.0
39,9.0
41,9.0
44,9.0
46,9.0
48,9.0
50,9.0
52,9.0
54,9.0
57,9.0
59,9.0
61,9.0
63,9.0
65,9.0
68,9.0
70,9.0
72,9.0
74,9.0
76,9.0
78,9.0
81,9.0
83,9.0
85,9.0
87,9.0
89,9.0
92,9.0
94,9.0
96,9.0
98,9.0
100,9.0
102,9.0
105,9.0
107,9.0
109,9.0
111,9.0
113,9.0
115,9.0
118,9.0
120,9.0
122,9.0
124,9.0
126,9.0
129,9.0
131,9.0
133,9.0
135,9.0
137,9.0
139,9.0
142,9.0
144,9.0
146,9.0
148,9.0
150,9.0
152,9.0
155,9.0
157,9.0
159,9.0
161,9.0
163,9.0
166,9.0
168,9.0
170,9.0
172,9.0
174,9.0
177,9.0
179,9.0
181,9.0
183,9.0
185,9.0
188,9.0
190,9.0
192,9.0
194,9.0
196,4.0
198,4.0
201,3.0
203,3.0
205,3.0
207,3.0
209,3.0
211,3.0
214,3.0
216,3.0
218,2.0
220,2.0
222,1.0
225,1.0
227,4.0
229,9.0
231,9.0
233,9.0
235,9.0
238,9.0
240,9.0
242,9.0
244,9.0
246,9.0
248,9.0
251,9.0
253,9.0
255,9.0
257,9.0
259,9.0
262,9.0
264,9.0
266,9.0
268,9.0
270,9.0
272,9.0
275,9.0
277,9.0
279,9.0
281,9.0
283,9.0
286,9.0
288,9.0
290,9.0
292,9.0
294,9.0
296,9.0
299,9.0
301,9.0
303,9.0
305,9.0
307,9.0
310,9.0
312,9.0
314,9.0
316,9.0
318,9.0
320,9.0
323,9.0
325,9.0
327,9.0
329,9.0
331,9.0
334,9.0
336,9.0
338,9.0
340,9.0
342,9.0
344,9.0
347,9.0
349,9.0
351,9.0
353,9.0
355,9.0
358,9.0
360,9.0
362,9.0
364,9.0
366,9.0
368,9.0
371,9.0
373,9.0
375,9.0
377,9.0
379,9.0
382,9.0
384,9.0
386,9.0
388,9.0
390,9.0
392,9.0
395,9.0
397,9.0
399,9.0
401,9.0
403,9.0
406,9.0
408,9.0
410,9.0
412,6.0
414,3.0
416,3.0
419,3.0
421,3.0
423,3.0
425,3.0
427,3.0
430,3.0
432,3.0
434,3.0
436,2.0
