time,nignx_job,edl_job,total
0,0,0,0
2,0,0,0
5,0,1,1
7,0,1,1
10,0,9,9
12,0,13,13
14,0,13,13
17,0,13,13
19,0,13,13
22,0,13,13
24,0,13,13
26,0,13,13
29,0,13,13
31,0,13,13
33,0,13,13
36,1,13,14
38,1,11,12
41,2,11,13
43,2,11,13
45,2,11,13
48,3,11,14
50,3,11,14
53,3,11,14
55,3,11,14
57,3,11,14
60,3,11,14
62,3,11,14
64,3,11,14
67,3,11,14
69,3,11,14
72,3,11,14
74,3,11,14
76,3,11,14
79,3,11,14
81,3,11,14
83,3,11,14
86,3,11,14
88,3,11,14
91,3,11,14
93,3,11,14
95,3,11,14
98,3,11,14
100,3,11,14
103,3,11,14
105,3,11,14
107,3,11,14
110,3,11,14
112,3,11,14
114,3,11,14
117,3,11,14
119,3,7,10
122,4,7,11
124,4,7,11
126,6,8,14
129,6,8,14
131,6,8,14
134,6,8,14
136,6,8,14
138,6,8,14
141,6,8,14
143,6,8,14
146,6,8,14
148,6,8,14
150,6,8,14
153,6,8,14
155,6,8,14
158,6,8,14
160,6,8,14
162,6,8,14
165,6,8,14
167,6,8,14
169,6,8,14
172,6,8,14
174,6,8,14
177,6,8,14
179,6,8,14
181,6,8,14
184,6,8,14
186,6,8,14
189,6,8,14
191,6,8,14
193,6,8,14
196,6,8,14
198,6,8,14
200,6,5,11
203,7,5,12
205,9,5,14
208,9,5,14
210,9,5,14
212,9,5,14
215,9,5,14
217,9,5,14
220,9,5,14
222,9,5,14
224,9,5,14
227,9,5,14
229,9,5,14
232,9,5,14
234,9,5,14
236,9,5,14
239,9,5,14
241,9,5,14
244,9,5,14
246,9,5,14
248,9,5,14
251,9,5,14
253,9,5,14
256,9,5,14
258,9,5,14
260,9,5,14
263,9,5,14
265,9,5,14
268,9,5,14
270,9,5,14
272,9,5,14
275,9,5,14
277,9,5,14
280,6,5,11
282,6,7,13
284,6,8,14
287,6,8,14
289,6,8,14
292,6,8,14
294,6,8,14
296,6,8,14
299,6,8,14
301,6,8,14
304,6,8,14
306,6,8,14
308,6,8,14
311,6,8,14
313,6,8,14
316,6,8,14
318,6,8,14
320,6,8,14
323,6,8,14
325,6,8,14
328,6,8,14
330,6,8,14
332,6,8,14
335,6,8,14
337,6,8,14
340,6,8,14
342,6,8,14
344,6,8,14
347,6,8,14
349,6,8,14
352,6,8,14
354,6,8,14
356,6,8,14
359,6,8,14
361,6,8,14
364,6,8,14
366,4,9,13
368,4,10,14
371,3,10,13
373,3,11,14
376,3,11,14
378,3,11,14
380,3,11,14
383,3,11,14
385,3,11,14
388,3,11,14
390,3,11,14
392,3,11,14
395,3,11,14
397,3,11,14
399,3,11,14
402,3,11,14
404,3,11,14
407,3,11,14
409,3,11,14
411,3,11,14
414,3,11,14
416,3,11,14
419,3,11,14
421,3,11,14
423,3,11,14
426,3,11,14
428,3,11,14
431,3,11,14
433,3,11,14
435,3,11,14
438,3,11,14
