time,nignx_job,edl_job
0,0,0
2,0,0
5,0,1.0
7,0,1.0
10,0,9.0
12,0,13.0
14,0,13.0
17,0,13.0
19,0,13.0
22,0,13.0
24,0,13.0
26,0,13.0
29,0,13.0
31,0,13.0
33,0,13.0
36,1.0,13.0
38,1.0,11.0
41,2.0,11.0
43,2.0,11.0
45,2.0,11.0
48,3.0,11.0
50,3.0,11.0
53,3.0,11.0
55,3.0,11.0
57,3.0,11.0
60,3.0,11.0
62,3.0,11.0
64,3.0,11.0
67,3.0,11.0
69,3.0,11.0
72,3.0,11.0
74,3.0,11.0
76,3.0,11.0
79,3.0,11.0
81,3.0,11.0
83,3.0,11.0
86,3.0,11.0
88,3.0,11.0
91,3.0,11.0
93,3.0,11.0
95,3.0,11.0
98,3.0,11.0
100,3.0,11.0
103,3.0,11.0
105,3.0,11.0
107,3.0,11.0
110,3.0,11.0
112,3.0,11.0
114,3.0,11.0
117,3.0,11.0
119,3.0,7.0
122,4.0,7.0
124,4.0,7.0
126,6.0,8.0
129,6.0,8.0
131,6.0,8.0
134,6.0,8.0
136,6.0,8.0
138,6.0,8.0
141,6.0,8.0
143,6.0,8.0
146,6.0,8.0
148,6.0,8.0
150,6.0,8.0
153,6.0,8.0
155,6.0,8.0
158,6.0,8.0
160,6.0,8.0
162,6.0,8.0
165,6.0,8.0
167,6.0,8.0
169,6.0,8.0
172,6.0,8.0
174,6.0,8.0
177,6.0,8.0
179,6.0,8.0
181,6.0,8.0
184,6.0,8.0
186,6.0,8.0
189,6.0,8.0
191,6.0,8.0
193,6.0,8.0
196,6.0,8.0
198,6.0,8.0
200,6.0,5.0
203,7.0,5.0
205,9.0,5.0
208,9.0,5.0
210,9.0,5.0
212,9.0,5.0
215,9.0,5.0
217,9.0,5.0
220,9.0,5.0
222,9.0,5.0
224,9.0,5.0
227,9.0,5.0
229,9.0,5.0
232,9.0,5.0
234,9.0,5.0
236,9.0,5.0
239,9.0,5.0
241,9.0,5.0
244,9.0,5.0
246,9.0,5.0
248,9.0,5.0
251,9.0,5.0
253,9.0,5.0
256,9.0,5.0
258,9.0,5.0
260,9.0,5.0
263,9.0,5.0
265,9.0,5.0
268,9.0,5.0
270,9.0,5.0
272,9.0,5.0
275,9.0,5.0
277,9.0,5.0
280,6.0,5.0
282,6.0,7.0
284,6.0,8.0
287,6.0,8.0
289,6.0,8.0
292,6.0,8.0
294,6.0,8.0
296,6.0,8.0
299,6.0,8.0
301,6.0,8.0
304,6.0,8.0
306,6.0,8.0
308,6.0,8.0
311,6.0,8.0
313,6.0,8.0
316,6.0,8.0
318,6.0,8.0
320,6.0,8.0
323,6.0,8.0
325,6.0,8.0
328,6.0,8.0
330,6.0,8.0
332,6.0,8.0
335,6.0,8.0
337,6.0,8.0
340,6.0,8.0
342,6.0,8.0
344,6.0,8.0
347,6.0,8.0
349,6.0,8.0
352,6.0,8.0
354,6.0,8.0
356,6.0,8.0
359,6.0,8.0
361,6.0,8.0
364,6.0,8.0
366,4.0,9.0
368,4.0,10.0
371,3.0,10.0
373,3.0,11.0
376,3.0,11.0
378,3.0,11.0
380,3.0,11.0
383,3.0,11.0
385,3.0,11.0
388,3.0,11.0
390,3.0,11.0
392,3.0,11.0
395,3.0,11.0
397,3.0,11.0
399,3.0,11.0
402,3.0,11.0
404,3.0,11.0
407,3.0,11.0
409,3.0,11.0
411,3.0,11.0
414,3.0,11.0
416,3.0,11.0
419,3.0,11.0
421,3.0,11.0
423,3.0,11.0
426,3.0,11.0
428,3.0,11.0
431,3.0,11.0
433,3.0,11.0
435,3.0,11.0
438,3.0,11.0
